Sno,TV,Radio,Newspaper,Day,Sales
166,234.5,3.4,84.8,Weekend,25.4
167,17.9,37.6,21.6,Weekdays,22.6
168,206.8,5.2,19.4,Weekdays,14
169,215.4,23.6,57.6,Weekdays,23.7
170,284.3,10.6,6.4,Weekend,13.2
171,50,11.6,18.4,Weekdays,18
172,164.5,20.9,47.4,Weekdays,11.5
173,19.6,20.1,17,Weekdays,12.2
174,168.4,7.1,12.8,Weekdays,7.3
175,222.4,3.4,13.1,Weekend,10.6
176,276.9,48.9,41.8,Weekend,9.2
177,248.4,30.2,20.3,Weekend,12
178,170.2,7.8,35.2,Weekdays,11.2
179,276.7,2.3,23.7,Weekend,9.7
180,165.6,10,17.6,Weekdays,22.2
181,156.6,2.6,8.3,Weekdays,15.5
182,218.5,5.4,27.4,Weekdays,11.4
183,56.2,5.7,29.7,Weekdays,13.3
184,287.6,43,71.8,Weekend,7.2
185,253.8,21.3,30,Weekend,5.6
186,205,45.1,19.6,Weekdays,18
187,139.5,2.1,26.6,Weekdays,19.2
188,191.1,28.7,18.2,Weekdays,6.9
189,286,13.9,3.7,Weekend,11.8
190,18.7,12.1,23.4,Weekdays,17.6
191,39.5,41.1,5.8,Weekdays,15
192,75.5,10.8,6,Weekdays,13.2
193,17.2,4.1,31.6,Weekdays,17.3
194,166.8,42,3.6,Weekdays,19.4
195,149.7,35.6,6,Weekdays,11.7
196,38.2,3.7,13.8,Weekdays,8.4
197,94.2,4.9,8.1,Weekdays,10.8
198,177,9.3,6.4,Weekdays,15.2
199,283.6,42,66.2,Holiday,4.8
200,232.1,8.6,8.7,Weekend,14.7
